subject_id,trial,target_position,response_position,correct,rt,trial_type,chunk
chris,0,0,0,1.0,0.5850112498737872,pattern,1
chris,1,2,2,1.0,0.7606571249198169,pattern,1
chris,2,1,1,1.0,0.3988164169713855,pattern,1
chris,3,3,3,1.0,0.3403746248222887,pattern,1
chris,4,2,2,1.0,0.3722543341573328,pattern,1
chris,5,0,0,1.0,0.2967923749238252,pattern,1
chris,6,0,0,1.0,1.4919718750752509,pattern,1
chris,7,1,1,1.0,1.0016380411107093,pattern,1
chris,8,0,0,1.0,0.4360186250414699,pattern,2
chris,9,2,2,1.0,0.481477958150208,pattern,2
chris,10,1,1,1.0,0.3894109579268843,pattern,2
chris,11,3,3,1.0,0.4961682921275496,pattern,2
chris,12,2,2,1.0,0.6379907089285553,pattern,2
chris,13,0,0,1.0,0.4762844999786466,pattern,2
chris,14,0,0,1.0,0.5633336249738932,pattern,2
chris,15,1,1,1.0,0.475651582935825,pattern,2
chris,16,0,0,1.0,0.6504292089957744,pattern,3
chris,17,2,2,1.0,0.4717286250088364,pattern,3
chris,18,1,1,1.0,0.3404078749008477,pattern,3
chris,19,3,3,1.0,0.3304530831519514,pattern,3
chris,20,2,2,1.0,0.6042150829453021,pattern,3
chris,21,0,0,1.0,0.3354411248583346,pattern,3
chris,22,0,0,1.0,0.5267240409739316,pattern,3
chris,23,1,1,1.0,0.5857922090217471,pattern,3
chris,24,0,0,1.0,0.4150609169155359,pattern,4
chris,25,2,2,1.0,0.4354991251602769,pattern,4
chris,26,1,1,1.0,0.3093125000596046,pattern,4
chris,27,3,3,1.0,0.3056051658932119,pattern,4
chris,28,2,2,1.0,0.3345505830366164,pattern,4
chris,29,0,0,1.0,0.3497369999531656,pattern,4
chris,30,0,0,1.0,0.2741537920664996,pattern,4
chris,31,1,1,1.0,0.3094410828780383,pattern,4
chris,32,0,0,1.0,0.3018787500914186,pattern,5
chris,33,2,2,1.0,0.2676515420898795,pattern,5
chris,34,1,1,1.0,0.2792378750164062,pattern,5
chris,35,3,3,1.0,0.2432474168017506,pattern,5
chris,36,2,2,1.0,0.5372969168238342,pattern,5
chris,37,0,0,1.0,0.4178184168413281,pattern,5
chris,38,0,0,1.0,0.5419839578680694,pattern,5
chris,39,1,1,1.0,0.3515275411773473,pattern,5
chris,40,0,0,1.0,0.336695458041504,pattern,6
chris,41,2,2,1.0,0.4453799589537084,pattern,6
chris,42,1,1,1.0,0.2744959169067442,pattern,6
chris,43,3,3,1.0,0.3248105829115957,pattern,6
chris,44,2,2,1.0,0.3974554999731481,pattern,6
chris,45,0,0,1.0,0.2936406671069562,pattern,6
chris,46,0,0,1.0,0.2263965408783406,pattern,6
chris,47,1,1,1.0,0.2670075839851051,pattern,6
chris,48,0,0,1.0,0.2013652080204337,pattern,7
chris,49,2,2,1.0,0.2197561669163406,pattern,7
chris,50,1,1,1.0,0.2372575830668211,pattern,7
chris,51,3,3,1.0,0.2317034581210464,pattern,7
chris,52,2,2,1.0,0.285898958100006,pattern,7
chris,53,0,1,,0.2403809169773012,pattern,7
chris,54,0,0,1.0,0.2293916251510381,pattern,7
chris,55,1,1,1.0,0.5958110000938177,pattern,7
chris,56,0,0,1.0,0.2275286670774221,pattern,8
chris,57,2,2,1.0,1.6546766248065978,pattern,8
chris,58,1,1,1.0,0.1977387501392513,pattern,8
chris,59,3,3,1.0,0.2760456670075655,pattern,8
chris,60,2,2,1.0,0.275296458043158,pattern,8
chris,61,0,0,1.0,0.5000619171187282,pattern,8
chris,62,0,0,1.0,0.1983720411080867,pattern,8
chris,63,1,2,,0.2253120001405477,pattern,8
chris,64,0,0,1.0,0.1045089580584317,random,11
chris,65,1,1,1.0,0.5988042498938739,random,11
chris,66,2,2,1.0,0.4663366249296814,random,11
chris,67,1,1,1.0,0.4025842081755399,random,11
chris,68,2,2,1.0,0.3807302499189973,random,11
chris,69,3,3,1.0,0.4210557078476995,random,11
chris,70,3,3,1.0,0.6236611250787973,random,11
chris,71,0,0,1.0,0.659871291834861,random,11
chris,72,3,3,1.0,0.4744214578531682,random,12
chris,73,1,1,1.0,0.3638145001605153,random,12
chris,74,3,3,1.0,0.6981776668690145,random,12
chris,75,3,3,1.0,0.5196090408135206,random,12
chris,76,1,1,1.0,1.0891557920258492,random,12
chris,77,0,0,1.0,0.5658774999901652,random,12
chris,78,3,3,1.0,0.5596196660771966,random,12
chris,79,0,0,1.0,0.5936775840818882,random,12
